melodieid,count,decade
450,1,1610
3672,1,1610
8586,1,1610
2512,1,1610
281,1,1610
4372,1,1610
806,1,1610
5277,1,1610
6269,1,1610
7339,1,1610
5455,1,1610
8231,1,1610
978,1,1610
3620,1,1610
6485,1,1610
6904,1,1610
7977,44,1620
2715,27,1620
2663,21,1620
7942,20,1620
2668,18,1620
3456,18,1620
487,15,1620
6300,14,1620
7071,14,1620
4871,14,1620
3654,14,1620
3952,14,1620
6515,13,1620
5335,13,1620
4918,13,1620
6968,12,1620
2815,11,1620
529,11,1620
64,11,1620
714,11,1620
4969,11,1620
9515,11,1620
4031,9,1620
7932,9,1620
8003,9,1620
4908,9,1620
4958,9,1620
4397,9,1620
9363,8,1620
4116,8,1620
126,8,1620
7648,8,1620
4979,8,1620
1037,8,1620
4922,8,1620
7206,7,1620
2716,7,1620
7158,7,1620
4726,7,1620
5282,7,1620
9073,7,1620
12661,7,1620
1856,7,1620
4057,7,1620
6699,7,1620
3305,7,1620
698,7,1620
4353,7,1620
12614,6,1620
6107,6,1620
2434,6,1620
11292,6,1620
7417,6,1620
13558,6,1620
3493,6,1620
7900,6,1620
4002,6,1620
5273,6,1620
9389,6,1620
2048,6,1620
527,6,1620
9353,6,1620
1379,6,1620
7299,5,1620
4981,5,1620
2706,5,1620
7173,5,1620
7943,5,1620
282,5,1620
6982,5,1620
6124,5,1620
906,5,1620
8665,5,1620
5976,5,1620
3694,5,1620
6851,5,1620
7167,5,1620
8770,5,1620
359,5,1620
3603,5,1620
8277,5,1620
2499,5,1620
9795,4,1620
2278,4,1620
6269,4,1620
983,4,1620
13818,4,1620
341,4,1620
9034,4,1620
2697,4,1620
24,4,1620
10623,4,1620
5017,4,1620
4590,4,1620
4459,4,1620
450,4,1620
792,4,1620
3016,4,1620
2895,4,1620
4934,4,1620
2661,4,1620
7851,4,1620
2501,4,1620
3540,4,1620
7266,4,1620
8757,4,1620
1876,4,1620
56,4,1620
2438,4,1620
6549,4,1620
2260,3,1620
4019,3,1620
6967,3,1620
806,3,1620
4128,3,1620
78,3,1620
7362,3,1620
2457,3,1620
12794,3,1620
7169,3,1620
1131,3,1620
2983,3,1620
8496,3,1620
9189,3,1620
3628,3,1620
6014,3,1620
9143,3,1620
8349,3,1620
6045,3,1620
9177,3,1620
4966,3,1620
2486,3,1620
5005,3,1620
121,3,1620
6936,3,1620
499,3,1620
3123,3,1620
2431,3,1620
7208,3,1620
4760,3,1620
8363,3,1620
7934,3,1620
5808,3,1620
2338,2,1620
1945,2,1620
9194,2,1620
4812,2,1620
2064,2,1620
13771,2,1620
3256,2,1620
4800,2,1620
8689,2,1620
850,2,1620
9075,2,1620
5082,2,1620
1315,2,1620
2536,2,1620
8318,2,1620
6675,2,1620
7415,2,1620
4215,2,1620
3981,2,1620
4276,2,1620
463,2,1620
9318,2,1620
931,2,1620
4319,2,1620
4999,2,1620
5432,2,1620
2130,2,1620
441,2,1620
93,2,1620
2487,2,1620
6287,2,1620
1916,2,1620
3662,2,1620
2614,2,1620
5409,2,1620
7317,2,1620
3494,2,1620
5068,2,1620
6990,2,1620
5084,2,1620
3929,2,1620
2209,2,1620
6367,2,1620
4895,2,1620
6822,2,1620
7319,2,1620
7355,2,1620
5823,2,1620
1757,2,1620
2766,2,1620
5069,2,1620
3963,2,1620
5656,2,1620
1848,2,1620
5063,2,1620
6606,2,1620
1359,2,1620
2635,2,1620
4087,2,1620
3247,2,1620
1016,2,1620
7787,2,1620
2040,2,1620
9491,2,1620
2206,2,1620
2246,2,1620
4088,2,1620
6904,2,1620
2781,2,1620
2863,2,1620
191,2,1620
4196,2,1620
671,2,1620
387,2,1620
7068,2,1620
18,2,1620
7039,2,1620
8298,2,1620
5455,2,1620
5245,2,1620
2414,2,1620
5428,2,1620
2516,2,1620
2617,2,1620
828,2,1620
5173,1,1620
7388,1,1620
4050,1,1620
4041,1,1620
2929,1,1620
4149,1,1620
7013,1,1620
4028,1,1620
4017,1,1620
3259,1,1620
4165,1,1620
5416,1,1620
9346,1,1620
6257,1,1620
4053,1,1620
4240,1,1620
5060,1,1620
8586,1,1620
7176,1,1620
5777,1,1620
6374,1,1620
3147,1,1620
2361,1,1620
298,1,1620
7326,1,1620
8867,1,1620
3620,1,1620
7333,1,1620
3930,1,1620
5903,1,1620
3070,1,1620
5080,1,1620
740,1,1620
6635,1,1620
8068,1,1620
6488,1,1620
665,1,1620
7182,1,1620
8256,1,1620
7294,1,1620
3957,1,1620
6732,1,1620
4089,1,1620
3652,1,1620
2441,1,1620
5857,1,1620
1461,1,1620
7195,1,1620
5047,1,1620
7339,1,1620
5933,1,1620
3169,1,1620
4304,1,1620
7925,1,1620
1572,1,1620
358,1,1620
3651,1,1620
12174,1,1620
557,1,1620
3728,1,1620
670,1,1620
4291,1,1620
6887,1,1620
2095,1,1620
1178,1,1620
673,1,1620
3663,1,1620
9407,1,1620
1230,1,1620
6709,1,1620
8007,1,1620
1020,1,1620
9217,1,1620
7941,1,1620
1425,1,1620
1358,1,1620
824,1,1620
7393,1,1620
458,1,1620
476,1,1620
1316,1,1620
5441,1,1620
7963,1,1620
1166,1,1620
316,1,1620
6972,1,1620
4592,1,1620
5981,1,1620
7510,1,1620
928,1,1620
6587,1,1620
926,1,1620
2119,1,1620
3685,1,1620
5114,1,1620
12795,1,1620
851,1,1620
9609,1,1620
1057,1,1620
7709,1,1620
347,1,1620
1438,1,1620
1014,1,1620
9098,1,1620
7939,1,1620
1189,1,1620
2180,1,1620
9240,1,1620
6543,1,1620
2437,1,1620
5781,1,1620
9256,1,1620
1462,1,1620
2076,1,1620
13766,1,1620
2450,1,1620
5945,1,1620
8252,1,1620
8851,1,1620
2165,1,1620
7977,21,1630
7942,17,1630
1182,15,1630
1131,14,1630
8757,13,1630
7941,13,1630
527,11,1630
5335,10,1630
2278,9,1630
4505,9,1630
8003,8,1630
7804,8,1630
1020,8,1630
5385,8,1630
1178,8,1630
64,8,1630
3810,8,1630
2040,7,1630
3456,7,1630
698,7,1630
776,7,1630
7158,7,1630
713,7,1630
6068,7,1630
3072,6,1630
2715,6,1630
13558,6,1630
126,6,1630
8068,6,1630
3952,6,1630
2248,6,1630
4969,6,1630
3654,5,1630
7208,5,1630
4228,5,1630
5593,5,1630
9363,5,1630
7071,5,1630
8161,5,1630
9073,5,1630
8844,5,1630
3024,5,1630
6300,5,1630
4835,5,1630
529,5,1630
4908,5,1630
906,5,1630
1316,5,1630
6468,4,1630
9389,4,1630
7388,4,1630
7355,4,1630
2338,4,1630
1876,4,1630
7787,4,1630
7648,4,1630
1358,4,1630
487,4,1630
6983,4,1630
8420,4,1630
6619,4,1630
8993,4,1630
2668,3,1630
5100,3,1630
1037,3,1630
563,3,1630
1379,3,1630
5084,3,1630
2663,3,1630
7185,3,1630
4979,3,1630
7393,3,1630
2246,3,1630
7193,3,1630
8363,3,1630
7299,3,1630
1946,3,1630
9058,3,1630
7221,3,1630
7294,2,1630
7312,2,1630
7390,2,1630
7223,2,1630
7228,2,1630
9318,2,1630
7257,2,1630
7268,2,1630
6269,2,1630
4397,2,1630
6708,2,1630
7286,2,1630
7314,2,1630
4958,2,1630
7217,2,1630
9137,2,1630
7938,2,1630
4726,2,1630
4871,2,1630
6822,2,1630
806,2,1630
7494,2,1630
4196,2,1630
1856,2,1630
2706,2,1630
2781,2,1630
3256,2,1630
8796,2,1630
6451,2,1630
7943,2,1630
4546,2,1630
4918,2,1630
1979,2,1630
6515,2,1630
8859,2,1630
7167,2,1630
7176,2,1630
7187,2,1630
7195,2,1630
9352,2,1630
12794,2,1630
8256,2,1630
9177,2,1630
714,2,1630
1359,2,1630
6968,2,1630
7417,2,1630
2815,2,1630
7371,2,1630
3305,2,1630
8638,2,1630
6936,2,1630
9075,2,1630
5300,2,1630
5112,2,1630
5071,2,1630
2933,2,1630
980,2,1630
12887,2,1630
2499,2,1630
4192,2,1630
2716,2,1630
7317,2,1630
2285,2,1630
2450,2,1630
7331,1,1630
7238,1,1630
7305,1,1630
7308,1,1630
7241,1,1630
5781,1,1630
7319,1,1630
7236,1,1630
7328,1,1630
7225,1,1630
4138,1,1630
7321,1,1630
7324,1,1630
7230,1,1630
7326,1,1630
7232,1,1630
7253,1,1630
7255,1,1630
7274,1,1630
3694,1,1630
7259,1,1630
7261,1,1630
7263,1,1630
7266,1,1630
3693,1,1630
7270,1,1630
7250,1,1630
7247,1,1630
7288,1,1630
7333,1,1630
7245,1,1630
7276,1,1630
7278,1,1630
7280,1,1630
7282,1,1630
7284,1,1630
5857,1,1630
7243,1,1630
7350,1,1630
7336,1,1630
7430,1,1630
7408,1,1630
7410,1,1630
7413,1,1630
7415,1,1630
7420,1,1630
7422,1,1630
7424,1,1630
7426,1,1630
7428,1,1630
7432,1,1630
7403,1,1630
8349,1,1630
7436,1,1630
7440,1,1630
7443,1,1630
7445,1,1630
7447,1,1630
7449,1,1630
7451,1,1630
7454,1,1630
7406,1,1630
7401,1,1630
7339,1,1630
7362,1,1630
7341,1,1630
7343,1,1630
7345,1,1630
7348,1,1630
7219,1,1630
7353,1,1630
7358,1,1630
7360,1,1630
7364,1,1630
7367,1,1630
7399,1,1630
7369,1,1630
7375,1,1630
7379,1,1630
7381,1,1630
7384,1,1630
7386,1,1630
2260,1,1630
7395,1,1630
7397,1,1630
8364,1,1630
6270,1,1630
1557,1,1630
7457,1,1630
6635,1,1630
78,1,1630
86,1,1630
8252,1,1630
9189,1,1630
6709,1,1630
6982,1,1630
5605,1,1630
4087,1,1630
530,1,1630
2635,1,1630
8007,1,1630
9331,1,1630
2563,1,1630
5962,1,1630
5017,1,1630
12101,1,1630
4109,1,1630
2206,1,1630
6107,1,1630
4116,1,1630
7215,1,1630
8770,1,1630
773,1,1630
6089,1,1630
7051,1,1630
113,1,1630
1356,1,1630
3120,1,1630
6606,1,1630
3685,1,1630
8821,1,1630
11265,1,1630
4149,1,1630
7925,1,1630
7809,1,1630
818,1,1630
12661,1,1630
4002,1,1630
3493,1,1630
6643,1,1630
5656,1,1630
2661,1,1630
9621,1,1630
5806,1,1630
7888,1,1630
7169,1,1630
7171,1,1630
7173,1,1630
3621,1,1630
7178,1,1630
7180,1,1630
7182,1,1630
8648,1,1630
7189,1,1630
7191,1,1630
4850,1,1630
6764,1,1630
7197,1,1630
7200,1,1630
7202,1,1630
7204,1,1630
7206,1,1630
7210,1,1630
7213,1,1630
2441,1,1630
7165,1,1630
7163,1,1630
3163,1,1630
5772,1,1630
3981,1,1630
121,1,1630
2064,1,1630
792,1,1630
6549,1,1630
7939,1,1630
6374,1,1630
9449,1,1630
7161,1,1630
4357,1,1630
7776,1,1630
4115,1,1630
4319,1,1630
2486,1,1630
4031,1,1630
13818,1,1630
7160,1,1630
4709,1,1630
6451,65,1640
1131,56,1640
3654,42,1640
5112,40,1640
7803,34,1640
7942,31,1640
527,31,1640
1182,28,1640
7051,27,1640
7977,27,1640
6068,26,1640
5335,24,1640
928,24,1640
7941,23,1640
7866,23,1640
3240,23,1640
8058,23,1640
9616,22,1640
3952,22,1640
6945,20,1640
2663,19,1640
2798,19,1640
487,19,1640
7355,19,1640
713,18,1640
6983,18,1640
9618,18,1640
8003,18,1640
6619,18,1640
8844,17,1640
4871,16,1640
2815,15,1640
4505,15,1640
1316,14,1640
7147,14,1640
3810,14,1640
3072,14,1640
4726,14,1640
906,13,1640
8349,13,1640
64,13,1640
2499,13,1640
394,13,1640
445,13,1640
1178,13,1640
458,13,1640
1020,12,1640
