location,decade,pop_estimate,error
Brugge,1730,30472.390243902435,0.06807441842595592
Gent,1730,49291.21951219513,0.07038407869605255
Brussel,1730,74905.97560975606,0.07631127804125115
Leuven,1730,14457.41463414634,0.06739220654774149
Amsterdam,1730,213383.9756097561,0.04694457249458579
Den Haag,1730,32943.12195121951,0.07042589296555488
Rotterdam,1730,32838.58536585366,0.07068573406358684
Haarlem,1730,36120.14634146341,0.05711494024684556
Utrecht,1730,28064.317073170732,0.07874333955887092
Hoorn,1730,13562.926829268292,0.07219644655445245
Dordrecht,1730,19425.170731707316,0.07131054503083739
Deventer,1730,7664.0243902439015,0.07913756066512832
Leiden,1730,48949.048780487814,0.06209144301864928
Delft,1730,21470.804878048777,0.07175256701385771
Groningen,1730,21200.121951219513,0.08326344188079911
Zwolle,1730,11729.536585365853,0.07128345993333493
Heerenveen,1730,1276.0243902439024,0.055068142286446256
Woerden,1730,3130.8048780487807,0.06846988618215548
Dokkum,1730,2906.2195121951218,0.05620410389828365
Gouda,1730,18271.63414634146,0.07145955946642601
Gorinchem,1730,6587.560975609756,0.0716131659817097
Leeuwarden,1730,14288.609756097561,0.056331753247085906
Steenwijk,1730,1557.9512195121952,0.0701515436157555
Vlissingen,1730,7424.09756097561,0.08053865461187683
Middelburg,1730,28081.756097560974,0.07269366796600849
Veere,1730,1404.8292682926829,0.14198409667002312
Zaandam,1730,12806.048780487805,0.05200286450000762
Alkmaar,1730,12907.048780487805,0.06140528242272613
Enkhuizen,1730,12760.634146341463,0.07318812047722983
Antwerpen,1740,48768.055555555555,0.06600860080312132
Ieper,1740,12457.13888888889,0.07042592712344752
Duinkerken,1740,14694.02777777778,0.0710171365917749
Brugge,1740,29505.44444444445,0.06504919995932963
Gent,1740,48221.63888888889,0.06697431247728239
Brussel,1740,71788.4166666667,0.07261617182902107
Leuven,1740,14503.194444444449,0.0644972850808733
Amsterdam,1740,216752.00000000003,0.043749564274173335
Den Haag,1740,34609.722222222226,0.06747863076367433
Rotterdam,1740,34904.63888888888,0.06803934847883156
Haarlem,1740,32881.22222222222,0.05596490398099549
Utrecht,1740,28179.111111111117,0.06571258457801682
Hoorn,1740,13112.083333333334,0.06706494221826773
Dordrecht,1740,19475.55555555556,0.06702133728890933
Deventer,1740,7849.472222222222,0.0642187549764492
Leiden,1740,45102.6388888889,0.05720470901246836
Delft,1740,20852.083333333332,0.06672394844639837
Groningen,1740,21847.19444444444,0.08226711032054694
Zwolle,1740,11386.0,0.06396988504401134
Heerenveen,1740,1290.1944444444443,0.05384631946089087
Woerden,1740,3203.6111111111113,0.06366079944507078
Dokkum,1740,2829.8888888888887,0.05464486238171889
Gouda,1740,17869.972222222223,0.06660148386725721
Gorinchem,1740,6482.777777777778,0.06692947124860739
Leeuwarden,1740,14021.749999999998,0.05495628814758017
Steenwijk,1740,1597.222222222222,0.06279999999999993
Vlissingen,1740,7540.194444444444,0.0675012064970325
Middelburg,1740,27312.611111111113,0.0691428664414283
Veere,1740,1450.4444444444443,0.1269534242377814
Zaandam,1740,12752.527777777777,0.05070018798016073
Alkmaar,1740,12743.027777777776,0.06502248506263765
Enkhuizen,1740,11823.138888888887,0.06702722768206386
Antwerpen,1750,46642.13513513513,0.06090189881669454
Ieper,1750,12417.324324324325,0.0633530747147076
Duinkerken,1750,15469.405405405405,0.06645724429038656
Brugge,1750,28990.891891891893,0.05867732922642067
Gent,1750,48038.08108108108,0.06024274660474884
Brussel,1750,69765.37837837839,0.06673061330273398
Leuven,1750,15142.83783783784,0.05894143159285014
Amsterdam,1750,221019.35135135133,0.039851714097187886
Den Haag,1750,36280.67567567567,0.06869117280064953
Rotterdam,1750,37840.83783783784,0.06967876118393462
Haarlem,1750,28910.513513513513,0.052897617905765235
Utrecht,1750,28481.243243243236,0.05897005710728578
Hoorn,1750,12378.432432432433,0.0665302771603617
Dordrecht,1750,19306.64864864865,0.06731751840144716
Deventer,1750,8126.540540540541,0.051512894020925876
